id,project_name,title,description,name_categories,token_name,proof_archive_link,technical_issue,token_address,token_addresses,logo_link,date,scam_updates,proof_link,website_link,webarchive_link,twitter_link,telegram_link,our_post_link,funds_lost,funds_returned,funds_by_chains,funds_recovered,active,git_hub,git_hub_contract_link,discord,bug_bounty_program_link,bug_bounty_program_company,audit_code_conf,is_verified_source_code,is_public_team,scam_type,network,scamNetworks,auditedBy
421,FLUFFYSHIBA,FLUFFYSHIBA,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Token,FS,,,0x105885f78b9e5d7943d3fafbe94ed5311ed02c65,[],safe/files/scamDatabase/logo/60e8279906cf1.png,,[],"https://twitter.com/Token_Sniffer/status/1380219360631906307, https://cryptot3ddybear.gitlab.io/blog/posts/scam-explained-bsc-noapproval/",,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 56, 'scam_database_id': 421, 'networks': {'id': 56, 'name': 'Binance', 'icon_link': 'safe/files/network/bsc.png'}}]",[]
420,TravelCake,TravelCake,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Token,TVL,,,0x5c58ac3be5ac6c4643bcf8c14c6e4df789ba5672,[],safe/files/scamDatabase/logo/60e8272111de3.png,,[],https://tokensniffer.com/exploit/Reported%20by%20user(s),,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 56, 'scam_database_id': 420, 'networks': {'id': 56, 'name': 'Binance', 'icon_link': 'safe/files/network/bsc.png'}}]",[]
419,Jejudoge V2,Jejudoge V2,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Token,JEJUDOGEv2,,,0xe6a739e8dc3b2f81cae3f76bb7cf6ab62b127a76,[],safe/files/scamDatabase/logo/60e826cb7fb60.png,,[],https://twitter.com/Token_Sniffer/status/1374999601485291522,,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 1, 'scam_database_id': 419, 'networks': {'id': 1, 'name': 'Ethereum', 'icon_link': 'safe/files/network/ethereum.png'}}]",[]
418,YUMMYSHIBA,YUMMYSHIBA,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Token,YS,,,0x9dbc04d0c5f7b188880024c106e0c7e50ca5d110,[],safe/files/scamDatabase/logo/60e825af73e54.png,,[],"https://twitter.com/Token_Sniffer/status/1380219360631906307, https://cryptot3ddybear.gitlab.io/blog/posts/scam-explained-bsc-noapproval/",,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 56, 'scam_database_id': 418, 'networks': {'id': 56, 'name': 'Binance', 'icon_link': 'safe/files/network/bsc.png'}}]",[]
417,Yfi.mobi,Yfi.mobi,,Token,YFIM,,,0x2e2f3246b6c65ccc4239c9ee556ec143a7e5de2c,[],safe/files/scamDatabase/logo/60e825aaf3680.png,,[],https://bitcointalk.org/index.php?topic=5276879.0,,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 1, 'scam_database_id': 417, 'networks': {'id': 1, 'name': 'Ethereum', 'icon_link': 'safe/files/network/ethereum.png'}}]",[]
416,SHIBASWAP,SHIBASWAP,"<p>The contract owner could disable the transfer function, which restricted users in selling their tokens.</p>",Token,SHIBASWAP,,,0x2cbf9f57e764741e969df8e596fd10d50f5e800d,[],safe/files/scamDatabase/logo/60e8256cb0dce.png,,[],https://twitter.com/Token_Sniffer/status/1374999601485291522,,,,,,0,0,[],,1,,,,,,,,,"{'id': 7, 'type': 'Honeypot'}",{},"[{'networks_id': 1, 'scam_database_id': 416, 'networks': {'id': 1, 'name': 'Ethereum', 'icon_link': 'safe/files/network/ethereum.png'}}]",[]
415,Zombie Shiba,Zombie Shiba,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Token,ZHIBA,,,0x675f6e3a0abe9014d7d1dbe0ae565b9256b45303,[],safe/files/scamDatabase/logo/60e8253e0f480.png,,[],https://twitter.com/Token_Sniffer/status/1374999601485291522,,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 1, 'scam_database_id': 415, 'networks': {'id': 1, 'name': 'Ethereum', 'icon_link': 'safe/files/network/ethereum.png'}}]",[]
414,AL PACINU,AL PACINU,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Token,PACINU,,,0x5551a1db922b90bffb881241ef6c681fc9bdfb2b,[],safe/files/scamDatabase/logo/60e824e20eee0.png,,[],https://twitter.com/Token_Sniffer/status/1374999601485291522,,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 1, 'scam_database_id': 414, 'networks': {'id': 1, 'name': 'Ethereum', 'icon_link': 'safe/files/network/ethereum.png'}}]",[]
413,PolySnow,PolySnow,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Token,POLYSNOW,,,0x353532ad76ae89afa794258be6e218e964282c11,[],safe/files/scamDatabase/logo/60e8249b7b93f.png,,[],https://tokensniffer.com/exploit/Reported%20by%20user(s),,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 137, 'scam_database_id': 413, 'networks': {'id': 137, 'name': 'Polygon', 'icon_link': 'safe/files/network/polygon.png'}}]",[]
412,JamTruAdr4,JamTruAdr4,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Token,JTA4,,,0x4911554b1a8f6dd555a1ad8cad95ffc861eaccbb,[],safe/files/scamDatabase/logo/60e82456f3075.png,,[],"https://twitter.com/Token_Sniffer/status/1381346761566916614, https://cryptot3ddybear.gitlab.io/blog/posts/scam-explained-bsc-stealthy-lp-block/",,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 137, 'scam_database_id': 412, 'networks': {'id': 137, 'name': 'Polygon', 'icon_link': 'safe/files/network/polygon.png'}}]",[]
