chains,classification,date,target,amount,name,technique,bridge,link
['BSC'],Protocol Logic,1690156800,DeFi Protocol,900000.0,Palmswap,Inflationary Accounting Manipulation,False,https://twitter.com/peckshield/status/1683609019334950912
['Ethereum'],Smart Contract Language,1628553600,DeFi Protocol,8950000.0,Punk Protocol,Delegatecall Exploit,False,https://medium.com/punkprotocol/punk-finance-fair-launch-incident-report-984d9e340eb
['Ethereum'],Protocol Logic,1668038400,DeFi Protocol,4000000.0,DFX,Reentrancy,False,https://twitter.com/peckshield/status/1590831589004816384?s=20&t=0ylCEXp_O5DBIbFTAHA9vA
['Ethereum'],Infrastructure,1689984000,DeFi Protocol,300000.0,Conic Finance,Flashloan Price Oracle Attack,False,https://medium.com/@ConicFinance/post-mortem-eth-and-crvusd-omnipool-exploits-c9c7fa213a3d
['Ethereum'],Protocol Logic,1709856000,DeFi Protocol,2100000.0,Unizen,External Call Vulnerability,False,https://twitter.com/peckshield/status/1766210445415727608
['Ethereum'],Ecosystem,1650153600,DeFi Protocol,181000000.0,Beanstalk,Flashloan Governance Attack,False,https://twitter.com/FrankResearcher/status/1515693895887294466?s=20
['BSC'],Ecosystem,1624320000,DeFi Protocol,4500000.0,Eleven Finance,Flashloan Burn Function Exploit,False,https://rekt.news/11-rekt/
['Ethereum'],Ecosystem,1689897600,DeFi Protocol,3200000.0,Conic Finance,Flashloan Reentrancy Attack,False,https://twitter.com/ConicFinance/status/1682385596700844032?t=4a-w-I06_7EcbwpKWbPZHA&s=19
['Polygon'],Rugpull,1659916800,DeFi Protocol,3500000.0,Dragoma,Drain Vaults,False,https://www.coindesk.com/business/2022/08/08/polygon-based-web3-game-dragoma-supporters-fall-victim-to-35m-rug-pull-peckshield/
['Ethereum'],Infrastructure,1660003200,DeFi Protocol,575000.0,Curve Finance,DNS Spoofing,False,https://rekt.news/curve-finance-rekt/
['BSC'],Rugpull,1614816000,DeFi Protocol,32000000.0,Meerkat Finance,Drained Contracts,False,https://rekt.news/meerkat-finance-bsc-rekt/
['Ethereum'],Protocol Logic,1705017600,DeFi Protocol,464000.0,Wise Lending,Rounding Donation Attack,False,https://twitter.com/spreekaway/status/1745892488127070270
['Ethereum'],Ecosystem,1608249600,DeFi Protocol,7800000.0,Warp Finance,Flashloan Price Oracle Attack,False,https://rekt.news/warp-finance-rekt/
['Ethereum'],Infrastructure,1663632000,Other,160000000.0,Wintermute,Private Key Compromised (Brute Force),False,https://slowmist.medium.com/the-real-cause-of-the-wintermute-exploit-10da7e404b3b
['Harmony'],Infrastructure,1638921600,DeFi Protocol,1750000.0,8ight Finance,Private Key Compromised (Unknown Method),False,https://rekt.news/8ight-finance-rekt/
['Ethereum'],Protocol Logic,1671926400,DeFi Protocol,1410000.0,Rubic,Router Exploit,True,https://twitter.com/peckshield/status/1606937055761952770?s=20&t=Vdvjv2C7zUazmgvQ2SOQow
['Solana'],Infrastructure,1659398400,Wallet,5300000.0,Slope Wallet,Private Key Compromised (Stored Publicly),False,https://solana.com/news/8-2-2022-application-wallet-incident
[],Infrastructure,1681430400,CEX,23000000.0,Bitrue,Hot wallet hack,False,https://twitter.com/BTCTN/status/1646915702907973632
['BSC'],Ecosystem,1618185600,DeFi Protocol,22200000.0,Elephant Money,Flashloan Price Oracle Attack,False,https://twitter.com/BlockSecTeam/status/1513966074357698563
['Cronos'],Protocol Logic,1708560000,DeFi Protocol,250000.0,Tectonic,Flashloan New Market Exploit,False,https://cronoscan.com/tx/0x4c4584a57e5487a06e61c815c7ee368656ad58bd38774184eadcd97072dc1e4b
['Ethereum'],Ecosystem,1655337600,DeFi Protocol,5800000.0,Inverse Finance,Flashloan Price Oracle Attack,False,https://twitter.com/peckshield/status/1537382891230883841?s=20&t=uxBt2fIcD_f82MM2VD3pCg
['Near'],Protocol Logic,1667347200,DeFi Protocol,3000000.0,Skyward Finance,Reentrancy,False,https://twitter.com/skywardfinance/status/1587947957789331457
['Ethereum'],Infrastructure,1628726400,DeFi Protocol,7000000.0,DAO Maker,Private Key Compromised (Unknown Method),False,https://cointelegraph.com/news/dao-maker-crowdfunding-platform-loses-7m-in-latest-defi-exploit
['Ethereum'],Smart Contract Language,1587254400,DeFi Protocol,1200000.0,Lendf.me,Reentrancy,False,https://slowmist.medium.com/slowmist-details-of-lendf-me-reentrancy-attack-3e168ab5f2b1
['BSC'],Protocol Logic,1675296000,DeFi Protocol,3000000.0,Orion,Reentrancy,False,https://twitter.com/peckshield/status/1621337925228306433?s=20&t=ZroERzkeCrxy3gHxtboQeA
['Arbitrum'],Protocol Logic,1688428800,DeFi Protocol,90000.0,Rodeo Finance,Mint Reserves Logic Exploit,False,https://twitter.com/Phalcon_xyz/status/1676511696603729921?s=20
"['Ethereum', 'Bitcoin']",Infrastructure,1642464000,CEX,33700000.0,Crypto.com,Private Key Compromised (Unknown Method),False,https://rekt.news/cryptocom-rekt/
['Ethereum'],Ecosystem,1605571200,DeFi Protocol,8000000.0,Origin Protocol,Flashloan Reentrancy Attack,False,https://rekt.news/hack-epidemic/
['Ethereum'],Ecosystem,1605484800,DeFi Protocol,3300000.0,CheeseBank,Flashloan Price Oracle Attack,False,https://twitter.com/CheeseBank2020/status/1328343819201380353?s=20&t=qtl30Yo9ErEoVr8v3T20dg
['Ethereum'],Protocol Logic,1666828800,DeFi Protocol,15800000.0,Team Finance,Migrate Function Mistake Exploit,False,https://twitter.com/peckshield/status/1585587858978623491?s=20&t=vAGSJQ0ivXGoOv80bGx4iQ
['Ethereum'],Protocol Logic,1632873600,DeFi Protocol,147000000.0,Compound,Math Mistake Exploit,False,https://rekt.news/compound-rekt/
['Arbitrum'],Protocol Logic,1714435200,DeFi Protocol,181000.0,Yield Protocol,Balance Disparity Exploit,False,https://twitter.com/peckshield/status/1785121607192817692
['Polygon'],Ecosystem,1673913600,DeFi Protocol,660000.0,Midas Capital,Flashloan Reentrancy Attack,False,https://rekt.news/midas-capital-rekt/
['Ethereum'],Infrastructure,1702425600,DeFi Protocol,2700000.0,OKX DEX,Private Key Compromised (Unknown Method),False,https://twitter.com/TheBlock__/status/1734921504523956630
